STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         98;18870101;18871231;    1;  -999;   3.56;    -999;    0.96;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;18880101;18881231;    1;  6.55;   3.81;    7.20;    1.11;-999;-999;-999;  26.1; -15.1;-999;-999;-999;eor
         98;18890101;18891231;    1;  -999;   4.63;    8.08;    1.86;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;18900101;18901231;    1;  6.36;   4.23;    7.76;    1.33;-999;-999;-999;  26.6; -18.3;-999;-999;-999;eor
         98;18910101;18911231;    1;  -999;   4.61;    -999;    1.93;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;18920101;18921231;    1;  -999;   4.61;    -999;    1.48;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;18930101;18931231;    1;  -999;   5.20;    9.26;    2.29;-999;-999;-999;  28.1; -18.4;-999;-999;-999;eor
         98;18940101;18941231;    1;  6.48;   5.20;    8.90;    2.55;    2.91;-999;-999;  28.9; -21.3;    1;-999;-999;eor
         98;18950101;18951231;    1;  -999;   4.45;    8.52;    1.62;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;18960101;18961231;    1;  -999;   4.49;    -999;    1.98;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;18970101;18971231;    1;  -999;   5.24;    8.92;    2.62;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;18980101;18981231;    1;  -999;   5.77;    9.34;    3.27;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19000101;19001231;    1;  6.63;   5.27;    8.96;    2.73;    2.59;-999;-999;  28.0; -14.2;    1;  1034.0;   34.4;eor
         98;19010101;19011231;    1;  6.14;   4.87;    8.79;    2.31;    2.59;-999;-999;  27.1; -17.7;    1;  1041.2;   30.5;eor
         98;19020101;19021231;    1;  6.13;   4.05;    7.79;    1.74;    2.64;-999;-999;  27.5; -17.5;    1;  1090.8;   38.5;eor
         98;19030101;19031231;    1;  6.06;   5.08;    8.64;    -999;    2.61;-999;-999;  26.1;-999;    1;  1144.8;   30.6;eor
         98;19040101;19041231;    1;  5.94;   5.15;    9.16;    2.47;    2.42;-999;-999;  30.3; -13.2;    1;   807.8;   24.4;eor
         98;19050101;19051231;    1;  -999;   4.70;    8.15;    1.97;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19060101;19061231;    1;  6.24;   5.23;    9.04;    2.21;    2.82;-999;-999;  29.2; -12.5;    1;-999;-999;eor
         98;19070101;19071231;    1;  -999;   4.79;    8.37;    1.74;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19080101;19081231;    1;  5.97;   -999;    8.73;    1.77;    2.39;-999;-999;  29.2; -18.6;    1;   885.1;   36.6;eor
         98;19090101;19091231;    1;  -999;   4.34;    7.85;    1.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19100101;19101231;    1;  -999;   5.38;    8.78;    2.45;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19110101;19111231;    1;  -999;   6.20;    9.93;    2.88;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19120101;19121231;    1;  6.67;   5.13;    8.54;    2.17;    2.46;-999;-999;  26.5; -19.7;    1;  1242.5;   42.9;eor
         98;19130101;19131231;    1;  -999;   5.60;    9.07;    2.56;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19140101;19141231;    1;  5.99;   5.64;    9.31;    2.58;    2.48;-999;-999;  26.6; -14.6;    1;  1066.2;   35.9;eor
         98;19160101;19161231;    1;  6.24;   4.95;    8.21;    2.50;-999;-999;-999;  25.1;  -9.5;    1;  1146.4;   33.5;eor
         98;19180101;19181231;    1;  6.09;   5.66;    9.86;    2.61;    4.51;-999;-999;  29.2; -11.5;    1;-999;-999;eor
         98;19190101;19191231;    1;  5.82;   4.15;    8.14;    0.86;-999;-999;-999;  29.7; -15.5;    1;-999;-999;eor
         98;19200101;19201231;    1;  -999;   5.72;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19210101;19211231;    1;  -999;   6.19;   10.71;    3.28;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19220101;19221231;    1;  -999;   4.00;    7.99;    1.39;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19240101;19241231;    1;  5.03;   4.58;    8.91;    1.78;-999;-999;-999;  28.8; -18.0;    1;-999;-999;eor
         98;19250101;19251231;    1;  5.50;   4.93;    9.17;    2.73;    2.86;-999;-999;  30.1; -13.4;    1;-999;-999;eor
         98;19260101;19261231;    1;  -999;   5.43;    9.26;    3.22;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19270101;19271231;    1;  5.58;   4.65;    -999;    2.43;-999;-999;-999;-999; -17.0;    1;-999;-999;eor
         98;19280101;19281231;    1;  5.23;   5.12;    9.45;    2.62;-999;-999;-999;  31.4; -11.0;    1;-999;-999;eor
         98;19290101;19291231;    1;  4.68;   4.75;    -999;    2.09;-999;-999;-999;-999; -23.6;    1;-999;-999;eor
         98;19300101;19301231;    1;  -999;   5.78;    9.75;    3.41;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19310101;19311231;    1;  -999;   4.48;    8.54;    2.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19320101;19321231;    1;  -999;   5.42;    8.83;    2.55;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19330101;19331231;    1;  4.96;   4.89;    8.17;    1.99;    3.33;-999;-999;  27.5; -16.9;    1;-999;-999;eor
         98;19340101;19341231;    1;  -999;   6.41;    9.73;    3.25;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19350101;19351231;    1;  -999;   5.21;    8.41;    2.12;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19360101;19361231;    1;  -999;   5.47;    8.70;    2.41;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19370101;19371231;    1;  -999;   5.66;    8.96;    2.61;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19380101;19381231;    1;  -999;   5.63;    9.12;    2.54;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19400101;19401231;    5;  -999;   4.01;    7.65;    0.45;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19410101;19411231;    5;  -999;   4.15;    8.04;    1.08;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19420101;19421231;    5;  -999;   4.33;    7.88;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
         98;19430101;19431231;    5;  -999;   5.96;    9.94;    2.14;-999;-999;-999;-999;-999;-999;-999;-999;eor
